Co,County Name,AEA,Dist,Bldg,District Name,Building Name,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Building Total,Hispanic Male,Hispanic Female,Hispanic Total,Native American Male,Native American Female,Native American Total,Asian Male,Asian Female,Asian Total,Black Male,Black Female,Black Total,Pacific Islander Male,Pacific Islander Female,Pacific Islander Total,White Male,White Female,White Total,Multi-Race Male,Multi-Race Female,Multi-Race Total,Total Male,Total Female
42,Hardin,07,0009,0000,AGWSR,AGWSR Comm School District,0,0,0,0,2,0,1,0,1,1,0,0,2,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,3,5
42,Hardin,07,0009,0109,AGWSR,AGWSR High School,0,0,0,0,0,0,0,0,0,0,36,43,49,53,181,10,12,22,0,0,0,0,1,1,1,0,1,0,0,0,93,63,156,1,0,1,105,76
38,Grundy,07,0009,0172,AGWSR,AGWSR Middle School,0,0,0,0,0,34,28,43,43,36,0,0,0,0,184,5,11,16,0,0,0,1,0,1,0,1,1,1,0,1,83,80,163,1,1,2,91,93
42,Hardin,07,0009,0409,AGWSR,AGWSR Elementary School,0,50,42,45,38,0,0,0,0,0,0,0,0,0,175,9,6,15,0,0,0,0,1,1,0,0,0,0,0,0,73,81,154,2,3,5,84,91
42,Hardin,07,0009,0427,AGWSR,The Cougars Den,34,5,0,0,0,0,0,0,0,0,0,0,0,0,39,2,1,3,0,0,0,0,0,0,0,0,0,1,0,1,17,17,34,1,0,1,21,18
39,Guthrie,11,0018,0172,Adair-Casey,Adair-Casey Jr-Sr High School,0,0,0,0,0,0,0,0,23,17,33,18,26,34,151,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,69,80,149,0,0,0,70,81
39,Guthrie,11,0018,0409,Adair-Casey,Adair-Casey Elementary School,23,21,23,27,33,16,25,30,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,98,194,3,1,4,99,99
25,Dallas,11,0027,0172,Adel DeSoto Minburn,ADM Senior High School,0,0,0,0,0,0,0,0,0,0,113,131,115,104,463,3,4,7,1,2,3,2,1,3,0,0,0,0,0,0,229,216,445,4,1,5,239,224
25,Dallas,11,0027,0409,Adel DeSoto Minburn,Adel Elementary School,24,158,127,116,0,0,0,0,0,0,0,0,0,0,425,7,6,13,0,0,0,3,2,5,0,0,0,0,0,0,196,206,402,4,1,5,210,215
25,Dallas,11,0027,0412,Adel DeSoto Minburn,ADM Middle School,0,0,0,0,0,0,0,118,130,114,0,0,0,0,362,6,5,11,0,1,1,2,0,2,1,0,1,0,0,0,183,160,343,3,1,4,195,167
25,Dallas,11,0027,0418,Adel DeSoto Minburn,DeSoto Intermediate School,0,0,0,0,102,110,117,0,0,0,0,0,0,0,329,2,5,7,1,0,1,0,0,0,0,0,0,0,0,0,152,165,317,2,2,4,157,172
