Year,University Name,Student Classification,Resident Status,Headcount
Fall 2013,University of Iowa,Undergraduate,Resident,12012
Fall 2013,University of Iowa,Undergraduate,Non-Resident,9962
Fall 2013,University of Iowa,Graduate,Resident,1852
Fall 2013,University of Iowa,Graduate,Non-Resident,2971
Fall 2013,University of Iowa,Professional,Resident,2035
Fall 2013,University of Iowa,Professional,Non-Resident,916
Fall 2013,University of Iowa,Post-Doctoral,Resident,1017
Fall 2013,University of Iowa,Post-Doctoral,Non-Resident,300
Fall 2013,Iowa State University,Undergraduate,Resident,18009
Fall 2013,Iowa State University,Undergraduate,Non-Resident,9650
Fall 2013,Iowa State University,Graduate,Resident,1594
Fall 2013,Iowa State University,Graduate,Non-Resident,3116
Fall 2013,Iowa State University,Professional,Resident,247
Fall 2013,Iowa State University,Professional,Non-Resident,339
Fall 2013,Iowa State University,Post-Doctoral,Unknown,286
Fall 2013,University of Northern Iowa,Undergraduate,Resident,9411
Fall 2013,University of Northern Iowa,Undergraduate,Non-Resident,969
Fall 2013,University of Northern Iowa,Graduate,Resident,1431
Fall 2013,University of Northern Iowa,Graduate,Non-Resident,348
